"filename", "language", "XML", "TypeScript JSX", "CSS", "TypeScript", "JSON", "JSON with Comments", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/outline.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/outline.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/problemCard/problemCard.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/problemCard/problemCard.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/problemList/problemItem.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/problemList/problemItem.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/problemList/problemList.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/components/problemList/problemList.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/problems.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/problems/problems.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/2025sa-czhangkaitong/react-tsapp/src/pages/tasks/tasks.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/2025sa-czhangkaitong/react-tsapp/src/styles/omniMarkdownCss.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"/Users/2025sa-czhangkaitong/react-tsapp/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 14
"Total", "-", 1, 1272, 108, 135, 20328, 13, 26, 20, 8, 35, 20479, 42425
